Origin,Destination,Weight_kg,Volume_m3,Cost_USD,Product_Type,Shipment_Date
Genoa,Berlin,2101.88,40.83,2478.39,Ethanol,16-Aug-25
Barcelona,Rome,3910.31,49.99,8331.17,Toluene,26-Dec-24
Antwerp,Paris,564.77,49.84,6986.77,Methanol,20-Dec-24
Barcelona,Paris,1022.33,28.22,5707.59,Methanol,9-Jul-25
Barcelona,Madrid,707.01,38.68,4229.47,Benzene,26-Aug-25
Hamburg,Rome,683.28,47.29,8894.8,Benzene,31-Jul-25
Antwerp,Vienna,4349.57,42.63,4532.01,Methanol,8-Dec-24
Antwerp,Rome,3666.46,13.12,8349.39,Benzene,23-Sep-24
Antwerp,Madrid,2633.78,23.08,4952.21,Ethanol,6-Dec-24
Barcelona,Madrid,940.25,7.33,4392.5,Methanol,8-Mar-25
Genoa,Rome,2712.27,47.75,5164.12,Benzene,23-Feb-25
Antwerp,Madrid,2630.62,30.7,3712.4,Methanol,27-Oct-24
Barcelona,Rome,1279.41,12.2,7728.48,Toluene,14-Jun-25
Hamburg,Berlin,2452.33,33.91,5524.48,Acetone,2-Jul-25
Genoa,Rome,2293.27,31.29,3089.91,Methanol,18-Jul-25
Hamburg,Rome,3271.33,18.55,9096.17,Acetone,3-Jun-25
Genoa,Madrid,3357.92,6.56,4455.02,Benzene,26-Jan-25
Barcelona,Madrid,703.87,33.91,5891.98,Acetone,29-May-25
Rotterdam,Paris,2185.76,26.5,9158.25,Methanol,9-Sep-25
Genoa,Paris,3316.37,38.84,6618.14,Toluene,15-May-25
Hamburg,Berlin,2764.11,26.49,2052.08,Benzene,22-Sep-25
Barcelona,Paris,4354.2,42.76,9458.49,Methanol,3-May-25
Genoa,Rome,3464.12,28.04,6649.37,Benzene,24-Sep-24
Rotterdam,Madrid,1233.2,28.49,4014.15,Ethanol,8-Oct-24
Rotterdam,Paris,817.56,43.96,2253.45,Acetone,27-Nov-24
Antwerp,Paris,3390.89,20.77,8146.23,Ethanol,18-Jul-25
Antwerp,Berlin,619.3,7.57,6580.65,Methanol,30-Oct-24
Hamburg,Berlin,3135.99,2.41,5801.15,Toluene,6-Oct-24
Genoa,Rome,4731.04,38,9045.03,Benzene,8-Mar-25
Genoa,Madrid,3089.63,31.4,8097.37,Acetone,4-Apr-25
Antwerp,Berlin,2246.76,35.5,2365.07,Benzene,9-Dec-24
